model,oem,network_edge,weight,display_size,height,width,depth,battery,launch.year,launch.day,launch.month
Vega,Benefon,No,190.0,,145.0,56.0,23.0,,1999.0,,
nuvifone M10,Garmin-Asus,nan,,8.89,,,,10.55170826162069,2010.0,,1.0
GSmart G1305 Boston,Gigabyte,nan,118.0,8.128,116.0,56.8,12.4,10.265615046484458,2010.0,,4.0
GSmart,Gigabyte,nan,,7.111999999999999,103.0,54.0,13.4,10.55170826162069,,,
Pixel 4 XL,Google,nan,193.0,16.002,160.4,75.1,8.2,11.85369942030022,2019.0,15.0,10.0
Pixel 4,Google,nan,162.0,14.478000000000002,147.1,68.8,8.2,11.451726268074506,2019.0,15.0,10.0
Pixel 3a XL,Google,nan,167.0,15.24,160.1,76.1,8.2,11.85369942030022,2019.0,7.0,5.0
Pixel 3a,Google,nan,147.0,14.223999999999998,151.3,70.1,8.2,11.551227603598289,2019.0,7.0,5.0
N60,Haier,No,131.0,,94.0,48.0,25.0,9.815383295813538,2005.0,,2.0
T3000,Haier,No,85.0,,85.0,45.0,23.5,9.231221180711186,2005.0,,2.0
V280,Haier,No,80.0,,109.0,44.0,14.5,9.105908508571158,2005.0,,
V190,Haier,No,90.0,,106.0,46.0,18.8,9.493855449240822,2004.0,,
V100,Haier,No,90.0,,106.0,46.0,18.8,9.231221180711186,2004.0,,
P5,Haier,No,75.0,,135.0,28.0,18.0,9.025139562278508,2003.0,,
Z8000,Haier,No,90.0,,83.0,44.0,23.8,9.231221180711186,2004.0,,
8S 2020,Honor,nan,146.0,14.503400000000001,147.1,70.8,8.5,11.56081046872794,2020.0,27.0,5.0
Play4,Honor,nan,213.0,17.2974,170.0,78.5,8.9,12.07045641594465,2020.0,3.0,6.0
Play4 Pro,Honor,nan,213.0,16.6878,162.7,75.8,8.9,12.036517070486518,2020.0,3.0,6.0
X10 5G,Honor,nan,203.0,16.8402,163.7,76.5,8.8,12.07045641594465,2020.0,20.0,5.0
V6,Honor,No,480.0,26.416,245.2,154.9,7.8,12.823964258486738,2020.0,19.0,5.0
9A,Honor,nan,185.0,16.002,159.1,74.1,9.0,12.288000889707574,2020.0,29.0,4.0
9C,Honor,nan,176.0,16.2306,159.8,76.1,8.1,11.966144913345602,2020.0,29.0,4.0
9S,Honor,nan,144.0,13.843,146.5,70.9,8.4,11.56081046872794,2020.0,29.0,4.0
9X Lite,Honor,nan,188.0,16.51,160.4,76.6,7.8,11.87305954766147,2020.0,17.0,4.0
30 Pro+,Honor,nan,190.0,16.6878,160.3,73.6,8.4,11.966144913345602,2020.0,15.0,4.0
30 Pro,Honor,nan,186.0,16.6878,160.3,73.6,8.4,11.966144913345602,2020.0,15.0,4.0
30,Honor,nan,185.0,16.5862,160.3,74.2,8.1,11.966144913345602,2020.0,15.0,4.0
20e,Honor,nan,164.0,15.7734,154.8,73.6,8.0,11.731743290707842,2020.0,16.0,4.0
Play 4T Pro,Honor,nan,165.0,16.002,157.4,73.2,7.8,11.966144913345602,2020.0,9.0,4.0
Play 4T,Honor,nan,176.0,16.2306,159.8,76.1,8.1,11.966144913345602,2020.0,9.0,4.0
8A 2020,Honor,nan,150.0,15.4686,156.3,73.5,8.2,11.56081046872794,2020.0,10.0,4.0
8A Prime,Honor,nan,150.0,15.4686,156.3,73.5,8.2,11.56081046872794,2020.0,30.0,3.0
30S,Honor,nan,190.0,16.51,162.3,75.0,8.6,11.966144913345602,2020.0,30.0,3.0
Play 9A,Honor,nan,185.0,16.002,159.1,74.1,9.0,12.288000889707574,2020.0,30.0,3.0
View30 Pro,Honor,nan,206.0,16.6878,162.7,75.8,8.8,12.001760028327217,2020.0,24.0,2.0
View30,Honor,nan,213.0,16.6878,162.7,75.8,8.9,12.036517070486518,2020.0,24.0,2.0
V30 Pro,Honor,nan,206.0,16.6878,162.7,75.8,8.8,12.001760028327217,2019.0,,11.0
MagicWatch 2,Honor,No,41.0,3.5305999999999997,45.9,45.9,10.7,8.832890014164741,2019.0,,11.0
9X,Honor,nan,196.8,16.738599999999998,163.5,77.3,8.8,11.966144913345602,2019.0,28.0,10.0
20 lite (China),Honor,nan,171.5,16.002,157.2,73.2,7.7,11.966144913345602,2019.0,,10.0
Play 3e,Honor,nan,146.0,14.503400000000001,147.1,70.8,8.5,11.56081046872794,2019.0,,9.0
Play 3,Honor,nan,176.0,16.2306,159.8,76.1,8.1,11.966144913345602,2019.0,,9.0
20S,Honor,nan,172.0,15.9004,154.3,74.0,7.9,11.87305954766147,2019.0,,9.0
9X Pro,Honor,nan,202.0,16.738599999999998,163.5,77.3,8.8,11.966144913345602,2019.0,23.0,7.0
9X (China),Honor,nan,206.0,16.738599999999998,163.1,77.2,8.8,11.966144913345602,2019.0,,7.0
8S,Honor,nan,146.0,14.503400000000001,147.1,70.8,8.5,11.56081046872794,2019.0,,4.0
Pad 5 10.1,Honor,nan,,25.654,243.0,164.0,7.8,12.316564385396942,2019.0,,6.0
Pad 5 8,Honor,nan,,20.32,204.2,122.2,8.2,12.316564385396942,2019.0,,6.0
20 Pro,Honor,nan,182.0,15.9004,154.6,74.0,8.4,11.966144913345602,2019.0,,5.0
20,Honor,nan,174.0,15.9004,154.3,74.0,7.9,11.87305954766147,2019.0,,5.0